2007-01-30 03:00:00,GBP,Medium Impact Expected,Nationwide HPI m/m,0.3%,0.8%,1.2%
2007-01-30 00:00:00,EUR,Medium Impact Expected,German Prelim CPI m/m,-0.2%,0.2%,0.8%
2007-01-30 05:00:00,EUR,Low Impact Expected,Retail PMI,47.9,,52.1
2007-01-30 00:00:00,EUR,Low Impact Expected,ECOFIN Meetings,,,
2007-01-30 05:30:00,GBP,Low Impact Expected,Mortgage Approvals,113K,122K,129K
2007-01-30 05:30:00,GBP,Low Impact Expected,Net Lending to Individuals m/m,11.6B,10.6B,11.2B
2007-01-30 06:18:00,EUR,Low Impact Expected,Italian 10-y Bond Auction,4.29|1.3,,4.17|1.5
2007-01-30 09:30:00,CAD,Low Impact Expected,IPPI m/m,1.4%,0.5%,0.0%
2007-01-30 09:30:00,CAD,Low Impact Expected,RMPI m/m,5.2%,0.4%,0.9%
2007-01-30 10:00:00,USD,Low Impact Expected,S&P/CS Composite-20 HPI y/y,1.7%,1.6%,2.9%
2007-01-30 11:00:00,USD,High Impact Expected,CB Consumer Confidence,110.3,110.5,110.0
2007-01-30 17:45:00,NZD,High Impact Expected,Trade Balance,-433M,-422M,-806M
2007-01-30 19:30:00,JPY,Low Impact Expected,Final Manufacturing PMI,53.4,,53.1
2007-01-30 20:20:00,AUD,Medium Impact Expected,HIA New Home Sales m/m,6.0%,,-5.3%
2007-01-30 20:30:00,AUD,Medium Impact Expected,Private Sector Credit m/m,0.9%,1.0%,1.1%
2007-01-30 21:30:00,JPY,Low Impact Expected,Average Cash Earnings y/y,-0.6%,0.5%,0.2%
2007-01-31 01:00:00,JPY,Low Impact Expected,Housing Starts y/y,10.2%,9.0%,4.0%
2007-01-31 03:00:00,EUR,Medium Impact Expected,German Retail Sales m/m,2.4%,1.2%,-0.7%
2007-01-31 04:55:00,EUR,Medium Impact Expected,German Unemployment Change,-70K,-80K,-96K
2007-01-31 06:00:00,EUR,Low Impact Expected,CPI Flash Estimate y/y,1.9%,2.1%,1.9%
2007-01-31 06:00:00,EUR,Low Impact Expected,Consumer Confidence,-7,-6,-6
